run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.071,0,43,["b48"|"b16"|"c10"|"b34"|"c8"|"c30"|"b41"|"c19"|"c31"|"b21"|"b43"|"b46"|"c46"|"b20"|"c18"|"c28"|"b17"|"b3"|"c48"|"c43"|"b7"|"c4"|"b9"|"b30"|"c6"|"c35"|"c20"|"c14"|"c40"|"b38"|"c3"|"a"|"b49"|"c32"|"c38"|"c37"|"b15"|"c25"|"c2"|"c44"|"c45"|"c22"|"b4"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
1,00:00:00.040,0,12,["b34"|"c40"|"c10"|"b11"|"b19"|"b22"|"c16"|"c19"|"c41"|"b30"|"c21"|"b31"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
2,00:00:00.043,0,3,["c48"|"b13"|"c38"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
3,00:00:00.036,0,3,["b29"|"b36"|"b21"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
4,00:00:00.050,0,8,["b15"|"c31"|"b40"|"b10"|"c14"|"c30"|"b31"|"c46"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
5,00:00:00.040,0,14,["b38"|"b39"|"c39"|"b41"|"c26"|"b42"|"c34"|"b16"|"c6"|"c10"|"b9"|"c13"|"b3"|"c49"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
6,00:00:00.036,0,9,["c34"|"b36"|"b31"|"b34"|"c6"|"b45"|"b47"|"b13"|"c10"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
7,00:00:00.030,0,37,["c46"|"b8"|"b37"|"b39"|"c49"|"c13"|"b4"|"b11"|"c9"|"c48"|"c42"|"c39"|"c25"|"c22"|"b38"|"c3"|"b2"|"b20"|"c41"|"c37"|"b1"|"b17"|"b0"|"c18"|"b31"|"b41"|"b32"|"b36"|"c4"|"c10"|"b45"|"b43"|"c20"|"b19"|"c28"|"b44"|"c30"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
8,00:00:00.028,0,50,["b4"|"b33"|"c41"|"c30"|"c4"|"b26"|"b45"|"c9"|"b1"|"b0"|"b9"|"b32"|"b17"|"c48"|"c15"|"c0"|"c6"|"b18"|"b47"|"b3"|"b46"|"c7"|"c1"|"c44"|"c3"|"b48"|"b2"|"b37"|"c27"|"b25"|"b40"|"c14"|"b41"|"b11"|"b36"|"b24"|"b35"|"b43"|"c47"|"c28"|"b7"|"c29"|"c37"|"c34"|"b10"|"c36"|"b30"|"b6"|"c24"|"c2"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
9,00:00:00.033,0,50,["c25"|"b20"|"c47"|"b24"|"b12"|"c31"|"c8"|"b26"|"c34"|"b10"|"b32"|"b34"|"a"|"c41"|"c21"|"b28"|"c10"|"b31"|"c0"|"b16"|"c40"|"b21"|"b46"|"b27"|"b25"|"b14"|"b40"|"c16"|"c19"|"c23"|"c30"|"c38"|"b11"|"c49"|"b0"|"c20"|"c9"|"b2"|"c7"|"b37"|"b35"|"b45"|"c15"|"b8"|"b5"|"b47"|"c24"|"c45"|"c42"|"c43"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
10,00:00:00.053,0,94,["c21"|"c3"|"b27"|"c45"|"b28"|"c16"|"b41"|"b23"|"b5"|"c1"|"b38"|"b33"|"c35"|"c27"|"b25"|"c8"|"c43"|"c7"|"c24"|"c42"|"b40"|"c9"|"b30"|"b12"|"a"|"b35"|"b17"|"c10"|"c19"|"b8"|"c17"|"c41"|"c44"|"c47"|"c48"|"c26"|"b31"|"c6"|"c12"|"c5"|"c38"|"c11"|"b36"|"b15"|"c49"|"c32"|"b24"|"b45"|"b9"|"b22"|"b13"|"c0"|"b19"|"c39"|"b48"|"c18"|"c23"|"c13"|"b6"|"b16"|"c37"|"b14"|"c36"|"b32"|"b4"|"b49"|"b7"|"b1"|"b39"|"c28"|"c14"|"b37"|"b0"|"b21"|"b42"|"b10"|"c33"|"b20"|"c22"|"c2"|"b47"|"c34"|"c40"|"c29"|"b43"|"b44"|"c30"|"c25"|"c15"|"c46"|"c4"|"b26"|"b34"|"b2"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
11,00:00:00.036,0,9,["b30"|"b11"|"b24"|"c22"|"c47"|"c13"|"c26"|"c46"|"b28"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
12,00:00:00.062,0,92,["b23"|"c25"|"b5"|"c11"|"b47"|"c39"|"b10"|"b15"|"b1"|"b49"|"c47"|"b12"|"c45"|"b40"|"c28"|"b38"|"b43"|"b35"|"c22"|"c5"|"c17"|"c24"|"b21"|"b19"|"b24"|"c1"|"b16"|"c16"|"b30"|"c43"|"b17"|"a"|"b22"|"b31"|"c26"|"c14"|"b25"|"c6"|"b20"|"c36"|"b46"|"b44"|"c38"|"c0"|"c3"|"c23"|"c37"|"c27"|"c32"|"c18"|"b27"|"c12"|"b8"|"b4"|"c41"|"c19"|"b2"|"c49"|"c13"|"c35"|"b42"|"c31"|"c2"|"c48"|"b33"|"b6"|"b36"|"c10"|"c30"|"b48"|"b18"|"c40"|"b13"|"b9"|"b37"|"b34"|"c21"|"c29"|"c46"|"c15"|"b29"|"b32"|"c34"|"b11"|"b41"|"b3"|"b39"|"b7"|"c7"|"c44"|"b45"|"b28"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
13,00:00:00.036,0,29,["c17"|"c10"|"c40"|"c21"|"b49"|"c6"|"c26"|"b15"|"c25"|"c41"|"c14"|"b35"|"b7"|"c35"|"b16"|"b12"|"c0"|"b19"|"b47"|"b22"|"b4"|"c23"|"b30"|"b36"|"b31"|"c33"|"b48"|"c29"|"c2"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
14,00:00:00.036,0,29,["c29"|"c13"|"b48"|"b34"|"b28"|"b38"|"c10"|"b9"|"c35"|"b37"|"c1"|"b7"|"b17"|"c9"|"b12"|"c19"|"c28"|"c43"|"c38"|"b22"|"c31"|"b33"|"c36"|"b23"|"b27"|"b46"|"b1"|"b6"|"b44"],PF-Cycle-101-args-Audience-10-Members-PAF-size-77-args.xmi
