batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:00:19.533,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-0/38C2C309.xmi
1,00:00:15.328,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-1/345A0C7D.xmi
2,00:00:12.634,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-2/4EBEC76D.xmi
3,00:00:12.790,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-3/187784E4.xmi
4,00:00:12.655,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-4/2AB0B13B.xmi
5,00:00:12.708,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-5/715EEBF6.xmi
6,00:00:12.656,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-6/494CEF04.xmi
7,00:00:12.674,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-7/2D54C9E6.xmi
8,00:00:12.675,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-8/6BD4CE5F.xmi
9,00:00:12.827,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183111-c2-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-9/1FDD6963.xmi
