batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:02:03.978,-5.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-0/7A730479.xmi
1,00:01:57.761,-6.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-1/2D43E7A3.xmi
2,00:01:55.744,-6.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-2/2EE38503.xmi
3,00:01:52.857,-6.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-3/4D9661DF.xmi
4,00:01:52.104,-5.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-4/4EF8F00B.xmi
5,00:01:52.862,-6.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-5/2C2DCF04.xmi
6,00:01:53.109,-6.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-6/4E7B5920.xmi
7,00:01:52.297,-5.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-7/23090FB7.xmi
8,00:01:52.392,-5.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-8/1571056F.xmi
9,00:02:00.042,-6.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-161453-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-10-Members-PAF-size-27-args.mopt-matching-henshin/batch-9/372205DC.xmi
