run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.040,5,13,["a22"|"a28"|"a25"|"a31"|"a48"|"a44"|"a50"|"a37"|"a47"|"a29"|"a30"|"a51"|"a16"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
1,00:00:00.015,5,50,["a28"|"a39"|"a47"|"a23"|"a33"|"a43"|"a3"|"a50"|"a19"|"a12"|"a27"|"a48"|"a13"|"a22"|"a32"|"a10"|"a15"|"a18"|"a11"|"a9"|"a38"|"a35"|"a30"|"a4"|"a36"|"a14"|"a8"|"a7"|"a46"|"a26"|"a51"|"a25"|"a2"|"a31"|"a6"|"a45"|"a37"|"a24"|"a42"|"a34"|"a21"|"a1"|"a40"|"a"|"a44"|"a16"|"a5"|"a49"|"a29"|"a20"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
2,00:00:00.012,4,6,["a48"|"a37"|"a33"|"a10"|"a29"|"a22"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
3,00:00:00.012,5,49,["a31"|"a16"|"a40"|"a22"|"a1"|"a3"|"a27"|"a38"|"a15"|"a33"|"a37"|"a23"|"a14"|"a13"|"a2"|"a35"|"a47"|"a48"|"a24"|"a46"|"a25"|"a43"|"a26"|"a51"|"a5"|"a44"|"a18"|"a42"|"a19"|"a32"|"a29"|"a45"|"a28"|"a"|"a11"|"a10"|"a9"|"a41"|"a8"|"a20"|"a6"|"a50"|"a7"|"a34"|"a49"|"a30"|"a39"|"a36"|"a21"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
4,00:00:00.011,4,8,["a44"|"a11"|"a26"|"a47"|"a4"|"a38"|"a42"|"a32"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
5,00:00:00.013,5,49,["a10"|"a41"|"a1"|"a13"|"a6"|"a31"|"a30"|"a24"|"a2"|"a4"|"a48"|"a9"|"a16"|"a40"|"a27"|"a7"|"a37"|"a34"|"a42"|"a47"|"a39"|"a25"|"a5"|"a3"|"a44"|"a50"|"a51"|"a33"|"a"|"a19"|"a35"|"a32"|"a11"|"a43"|"a8"|"a22"|"a49"|"a26"|"a29"|"a12"|"a36"|"a38"|"a17"|"a21"|"a46"|"a45"|"a15"|"a23"|"a14"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
6,00:00:00.015,5,49,["a45"|"a5"|"a34"|"a47"|"a20"|"a22"|"a14"|"a37"|"a48"|"a3"|"a29"|"a32"|"a24"|"a"|"a35"|"a43"|"a44"|"a1"|"a17"|"a38"|"a2"|"a27"|"a39"|"a12"|"a18"|"a6"|"a42"|"a49"|"a7"|"a28"|"a51"|"a26"|"a30"|"a25"|"a33"|"a13"|"a8"|"a11"|"a4"|"a16"|"a31"|"a10"|"a19"|"a40"|"a9"|"a46"|"a15"|"a41"|"a21"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
7,00:00:00.016,5,45,["a29"|"a50"|"a19"|"a6"|"a9"|"a37"|"a33"|"a26"|"a31"|"a1"|"a42"|"a15"|"a48"|"a34"|"a36"|"a16"|"a39"|"a30"|"a41"|"a18"|"a47"|"a8"|"a2"|"a22"|"a46"|"a12"|"a13"|"a20"|"a10"|"a21"|"a3"|"a35"|"a14"|"a24"|"a5"|"a49"|"a38"|"a40"|"a7"|"a27"|"a32"|"a28"|"a51"|"a44"|"a4"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
8,00:00:00.010,5,35,["a20"|"a43"|"a30"|"a50"|"a"|"a28"|"a35"|"a38"|"a36"|"a26"|"a22"|"a46"|"a45"|"a32"|"a17"|"a14"|"a48"|"a41"|"a49"|"a24"|"a47"|"a13"|"a18"|"a39"|"a42"|"a44"|"a31"|"a9"|"a15"|"a6"|"a40"|"a27"|"a4"|"a8"|"a19"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
9,00:00:00.008,4,10,["a14"|"a48"|"a4"|"a5"|"a40"|"a16"|"a18"|"a46"|"a15"|"a"],PF-Tree-52-args-Audience-5-Members-PAF-size-14-args.xmi
