batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:17.738,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-0/6441C486.xmi
1,00:00:13.364,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-1/6FDDDEE0.xmi
2,00:00:13.036,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-2/77D1440A.xmi
3,00:00:12.412,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-3/0BA477CA.xmi
4,00:00:12.338,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-4/434B5134.xmi
5,00:00:12.370,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-5/1991A582.xmi
6,00:00:12.345,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-6/12F2EBA9.xmi
7,00:00:12.328,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-7/378103AE.xmi
8,00:00:12.345,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-8/218E72F5.xmi
9,00:00:12.434,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110956-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-1-Members-PAF-size-10-args.mopt-matching-henshin/batch-9/03351C92.xmi
