batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:00:25.506,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-0/14F3C6FC.xmi
1,00:00:17.811,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-1/7F8E372D.xmi
2,00:00:15.796,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-2/5449F35C.xmi
3,00:00:14.584,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-3/3909A911.xmi
4,00:00:14.533,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-4/664532CF.xmi
5,00:00:14.627,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-5/2F90B09F.xmi
6,00:00:14.107,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-6/6675D0B9.xmi
7,00:00:14.144,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-7/7C6032DB.xmi
8,00:00:14.102,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-8/6F9D9756.xmi
9,00:00:14.048,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-181531-c2-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-40-args.mopt-matching-henshin/batch-9/5E6D783B.xmi
