run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.182,31,5,["a37"|"a24"|"a34"|"a17"|"a"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
1,00:00:00.128,0,48,["a22"|"a11"|"a24"|"a1"|"a50"|"a32"|"a29"|"a39"|"a45"|"a19"|"a14"|"a31"|"a44"|"a23"|"a51"|"a30"|"a46"|"a42"|"a43"|"a28"|"a26"|"a12"|"a9"|"a20"|"a"|"a8"|"a25"|"a10"|"a4"|"a7"|"a36"|"a16"|"a17"|"a40"|"a47"|"a18"|"a13"|"a34"|"a5"|"a21"|"a49"|"a41"|"a38"|"a48"|"a37"|"a3"|"a33"|"a35"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
2,00:00:00.123,0,47,["a47"|"a18"|"a29"|"a21"|"a39"|"a22"|"a31"|"a45"|"a27"|"a50"|"a37"|"a25"|"a40"|"a13"|"a11"|"a35"|"a42"|"a36"|"a24"|"a2"|"a15"|"a9"|"a49"|"a30"|"a4"|"a46"|"a3"|"a"|"a12"|"a32"|"a8"|"a43"|"a16"|"a38"|"a10"|"a28"|"a23"|"a33"|"a20"|"a51"|"a5"|"a19"|"a1"|"a34"|"a41"|"a17"|"a14"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
3,00:00:00.126,0,43,["a47"|"a36"|"a50"|"a13"|"a10"|"a16"|"a38"|"a30"|"a7"|"a9"|"a22"|"a25"|"a19"|"a27"|"a15"|"a12"|"a34"|"a39"|"a24"|"a42"|"a32"|"a21"|"a44"|"a33"|"a28"|"a5"|"a8"|"a49"|"a18"|"a46"|"a23"|"a48"|"a"|"a2"|"a41"|"a17"|"a6"|"a43"|"a4"|"a45"|"a1"|"a14"|"a31"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
4,00:00:00.115,0,21,["a33"|"a8"|"a49"|"a14"|"a37"|"a45"|"a17"|"a39"|"a26"|"a25"|"a35"|"a43"|"a46"|"a44"|"a18"|"a7"|"a12"|"a20"|"a34"|"a15"|"a22"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
5,00:00:00.133,0,30,["a20"|"a9"|"a8"|"a49"|"a44"|"a29"|"a47"|"a43"|"a40"|"a11"|"a35"|"a19"|"a39"|"a30"|"a17"|"a38"|"a37"|"a31"|"a27"|"a46"|"a25"|"a45"|"a3"|"a15"|"a41"|"a13"|"a51"|"a21"|"a1"|"a22"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
6,00:00:00.086,0,31,["a32"|"a16"|"a6"|"a4"|"a41"|"a1"|"a33"|"a15"|"a44"|"a20"|"a5"|"a23"|"a7"|"a27"|"a25"|"a8"|"a51"|"a47"|"a17"|"a39"|"a3"|"a42"|"a14"|"a37"|"a35"|"a38"|"a49"|"a30"|"a10"|"a46"|"a31"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
7,00:00:00.092,33,27,["a49"|"a21"|"a48"|"a"|"a15"|"a38"|"a1"|"a47"|"a28"|"a23"|"a44"|"a11"|"a45"|"a29"|"a18"|"a39"|"a5"|"a4"|"a43"|"a33"|"a7"|"a46"|"a13"|"a16"|"a6"|"a10"|"a9"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
8,00:00:00.089,34,48,["a5"|"a12"|"a9"|"a29"|"a32"|"a26"|"a43"|"a24"|"a47"|"a11"|"a25"|"a42"|"a2"|"a34"|"a1"|"a15"|"a28"|"a46"|"a16"|"a18"|"a48"|"a36"|"a45"|"a3"|"a21"|"a27"|"a44"|"a20"|"a10"|"a13"|"a6"|"a4"|"a49"|"a14"|"a51"|"a7"|"a31"|"a38"|"a40"|"a50"|"a23"|"a17"|"a30"|"a37"|"a19"|"a"|"a41"|"a33"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
9,00:00:02.456,34,49,["a48"|"a36"|"a42"|"a14"|"a5"|"a31"|"a50"|"a"|"a38"|"a44"|"a19"|"a26"|"a33"|"a37"|"a15"|"a43"|"a7"|"a32"|"a23"|"a10"|"a30"|"a25"|"a2"|"a39"|"a16"|"a21"|"a4"|"a24"|"a13"|"a17"|"a12"|"a49"|"a34"|"a9"|"a1"|"a18"|"a3"|"a22"|"a41"|"a29"|"a40"|"a45"|"a51"|"a27"|"a47"|"a35"|"a20"|"a11"|"a28"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
10,00:00:00.096,34,2,["a49"|"a12"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
11,00:00:00.098,38,22,["a42"|"a44"|"a13"|"a24"|"a20"|"a16"|"a9"|"a41"|"a21"|"a6"|"a19"|"a14"|"a51"|"a30"|"a5"|"a37"|"a27"|"a28"|"a31"|"a7"|"a36"|"a25"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
12,00:00:00.107,35,7,["a2"|"a7"|"a28"|"a21"|"a31"|"a43"|"a22"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
13,00:00:00.105,32,6,["a35"|"a4"|"a6"|"a42"|"a28"|"a27"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
14,00:00:00.102,4,13,["a41"|"a35"|"a31"|"a15"|"a8"|"a25"|"a12"|"a23"|"a49"|"a42"|"a18"|"a16"|"a48"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
15,00:00:00.124,0,26,["a15"|"a47"|"a2"|"a16"|"a1"|"a30"|"a38"|"a32"|"a9"|"a45"|"a50"|"a22"|"a6"|"a49"|"a35"|"a21"|"a34"|"a8"|"a14"|"a23"|"a17"|"a26"|"a39"|"a46"|"a42"|"a20"],PF-Tree-52-args-Audience-50-Members-PAF-size-27-args.xmi
