batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:00:32.683,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-0/1CC9CFB2.xmi
1,00:00:23.360,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-1/2ECFB6F7.xmi
2,00:00:21.989,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-2/08EEE5BE.xmi
3,00:00:22.045,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-3/7CE1031A.xmi
4,00:00:21.077,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-4/6A5F828E.xmi
5,00:00:21.045,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-5/412B4827.xmi
6,00:00:21.142,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-6/02921C5C.xmi
7,00:00:21.166,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-7/12927888.xmi
8,00:00:21.092,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-8/238E0CD8.xmi
9,00:00:21.093,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184048-c2-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-2-Members-PAF-size-7-args.mopt-matching-henshin/batch-9/23EADE89.xmi
