batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:37:39.310,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-0/62DB0521.xmi
1,00:37:41.742,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-1/1B5F8CA1.xmi
2,00:37:47.176,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-2/2780CD85.xmi
3,00:37:36.523,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-3/1F904699.xmi
4,00:37:41.144,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-4/3B838558.xmi
5,00:37:55.192,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-5/0FFB74BF.xmi
6,00:38:22.076,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-6/24EEDFB3.xmi
7,00:38:18.564,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-7/7ABE9D66.xmi
8,00:38:13.319,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-8/6B78A888.xmi
9,00:44:13.750,-0.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111630-c2-argumentation-framework-argmatsat-PF-Cycle-201-args-Audience-100-Members-PAF-size-102-args.mopt-matching-henshin/batch-9/7A45F7A1.xmi
