run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:01.974,15,54,["c29"|"c77"|"b37"|"b18"|"b90"|"c6"|"b54"|"c81"|"b65"|"b19"|"b80"|"c21"|"c24"|"b69"|"b78"|"b17"|"c53"|"c89"|"c56"|"c27"|"c73"|"c3"|"b33"|"b48"|"c48"|"c84"|"b21"|"b0"|"b45"|"b99"|"b68"|"b7"|"b56"|"c13"|"b81"|"b31"|"c2"|"c39"|"c36"|"b44"|"b15"|"c25"|"c37"|"b82"|"a"|"c87"|"c45"|"c19"|"b8"|"b70"|"c44"|"c10"|"c76"|"b84"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
1,00:00:00.331,17,125,["b71"|"c55"|"b44"|"c79"|"c4"|"b68"|"c89"|"b2"|"c86"|"c20"|"c45"|"b8"|"c68"|"b13"|"c21"|"c97"|"c40"|"b27"|"b47"|"b74"|"c75"|"b72"|"c7"|"c82"|"c27"|"c73"|"b31"|"c33"|"b45"|"b88"|"b77"|"c72"|"b42"|"c38"|"c14"|"b16"|"c22"|"c36"|"b67"|"c5"|"c15"|"c17"|"c52"|"c18"|"b80"|"c23"|"c0"|"c2"|"c64"|"b91"|"a"|"b55"|"b97"|"c31"|"c76"|"c70"|"c87"|"c80"|"b90"|"b26"|"b33"|"b83"|"b86"|"c53"|"b61"|"b73"|"c96"|"c26"|"b40"|"c50"|"c60"|"c51"|"b22"|"c10"|"c11"|"b82"|"b57"|"c88"|"c43"|"c35"|"b39"|"b92"|"c81"|"c67"|"b69"|"b50"|"c58"|"c1"|"c59"|"b75"|"b66"|"b41"|"b65"|"b87"|"c29"|"c63"|"c19"|"c12"|"b84"|"b4"|"b20"|"c25"|"c57"|"c28"|"b94"|"b59"|"c95"|"b78"|"b85"|"b9"|"b36"|"b38"|"b3"|"b18"|"b17"|"b19"|"c13"|"c83"|"b63"|"c56"|"b46"|"c9"|"b5"|"b21"|"b37"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
2,00:00:00.296,7,37,["b82"|"c10"|"c34"|"b93"|"b59"|"b73"|"b77"|"c8"|"b7"|"c96"|"c47"|"c88"|"b31"|"b48"|"c77"|"c98"|"b20"|"b70"|"c91"|"c70"|"a"|"c23"|"b10"|"b42"|"c5"|"c36"|"b75"|"b18"|"b1"|"c42"|"b95"|"b8"|"c95"|"b26"|"c0"|"c41"|"c33"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
3,00:00:00.356,0,149,["b43"|"b83"|"b23"|"b34"|"b97"|"b13"|"b4"|"b67"|"c70"|"c9"|"b15"|"c22"|"b59"|"b52"|"b1"|"c46"|"b8"|"b55"|"c51"|"b30"|"b89"|"c15"|"b60"|"b98"|"b82"|"b93"|"c55"|"b0"|"b56"|"b31"|"c12"|"b91"|"b87"|"b36"|"b47"|"b33"|"c0"|"b6"|"c67"|"b29"|"c10"|"b90"|"b2"|"c73"|"c54"|"c57"|"c56"|"b79"|"c32"|"c84"|"c71"|"c24"|"c20"|"b9"|"b46"|"b12"|"c44"|"b20"|"b24"|"b68"|"c6"|"b42"|"c34"|"c30"|"b32"|"c59"|"c77"|"b61"|"c16"|"c47"|"b11"|"b84"|"c3"|"c79"|"b40"|"c74"|"c80"|"b3"|"c4"|"b35"|"b41"|"c75"|"b94"|"c42"|"c58"|"c49"|"c52"|"b37"|"c38"|"c41"|"b70"|"c65"|"b76"|"c97"|"b26"|"b62"|"c62"|"b85"|"b21"|"c99"|"c8"|"a"|"c90"|"c98"|"b69"|"b16"|"c23"|"c78"|"c13"|"c48"|"b19"|"b88"|"c40"|"c72"|"b73"|"c64"|"b49"|"c83"|"c18"|"b57"|"b72"|"c26"|"c43"|"c2"|"c31"|"b51"|"c86"|"b50"|"b65"|"b54"|"b44"|"b95"|"b80"|"b28"|"b77"|"b58"|"c94"|"b78"|"b17"|"b38"|"b18"|"c68"|"c53"|"c95"|"c11"|"b71"|"c28"|"b63"|"c29"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
4,00:00:00.250,47,65,["c43"|"b34"|"c51"|"b97"|"c5"|"b37"|"c4"|"b76"|"b57"|"c73"|"b71"|"b1"|"c48"|"b99"|"b68"|"b58"|"b41"|"b84"|"b88"|"c62"|"c3"|"c10"|"c72"|"b26"|"c52"|"b20"|"b83"|"c26"|"c19"|"b74"|"b70"|"c46"|"c80"|"c78"|"c65"|"c94"|"c8"|"b40"|"c22"|"c36"|"b29"|"b38"|"b89"|"b67"|"b43"|"c44"|"c85"|"b80"|"b85"|"b86"|"c9"|"c99"|"b96"|"c63"|"b77"|"c87"|"b78"|"c54"|"c2"|"c66"|"c40"|"c74"|"c77"|"b19"|"b62"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
5,00:00:00.233,0,71,["b59"|"c78"|"b66"|"c26"|"c96"|"b75"|"b5"|"c29"|"c16"|"c45"|"b24"|"b26"|"c33"|"c3"|"b93"|"b43"|"c86"|"b56"|"c23"|"b95"|"c53"|"b1"|"c18"|"c28"|"c68"|"b11"|"b14"|"b42"|"c82"|"c9"|"c95"|"c69"|"b23"|"c55"|"b86"|"c34"|"b38"|"c0"|"c22"|"c14"|"c10"|"c71"|"b13"|"b94"|"c6"|"c62"|"b80"|"b51"|"c48"|"b69"|"c65"|"b70"|"b16"|"b50"|"c93"|"c32"|"c85"|"b0"|"c79"|"b98"|"b91"|"b73"|"b40"|"b55"|"b12"|"b87"|"b4"|"c49"|"c15"|"c66"|"b7"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
6,00:00:00.229,41,126,["b76"|"b99"|"c26"|"b75"|"c94"|"b47"|"b73"|"b3"|"c21"|"b42"|"b10"|"c15"|"b63"|"c38"|"b59"|"b68"|"c37"|"c68"|"b86"|"c63"|"b53"|"b56"|"b17"|"b70"|"c5"|"c25"|"c70"|"b51"|"c32"|"b30"|"c33"|"c89"|"c62"|"c17"|"b97"|"b52"|"b72"|"c18"|"c2"|"b36"|"c82"|"b35"|"b81"|"b23"|"c55"|"b60"|"b91"|"b61"|"b6"|"c77"|"b46"|"c49"|"c6"|"c7"|"c40"|"c50"|"b66"|"c28"|"b69"|"b83"|"c34"|"c67"|"c24"|"c9"|"c84"|"b88"|"c97"|"b22"|"b84"|"c93"|"c98"|"b82"|"c41"|"b16"|"c56"|"b48"|"b40"|"b18"|"b32"|"b20"|"c69"|"c39"|"b78"|"b24"|"c47"|"c57"|"c11"|"b80"|"c23"|"c74"|"c44"|"c8"|"c85"|"b39"|"c64"|"b8"|"c45"|"b41"|"c3"|"c86"|"b55"|"b1"|"b0"|"b19"|"b58"|"c31"|"b27"|"b50"|"b33"|"b14"|"c66"|"b45"|"c87"|"c95"|"c99"|"b93"|"c12"|"b43"|"b26"|"b98"|"c79"|"c10"|"b28"|"a"|"c20"|"c51"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
7,00:00:00.222,20,106,["b90"|"b55"|"b92"|"c3"|"c99"|"b99"|"c54"|"b5"|"c63"|"c71"|"b34"|"c13"|"c62"|"c67"|"b74"|"b3"|"b43"|"c78"|"c69"|"b16"|"b59"|"c8"|"c58"|"b65"|"b89"|"b91"|"b44"|"c17"|"c89"|"c28"|"b14"|"b45"|"b95"|"b54"|"b70"|"c22"|"c16"|"c51"|"c87"|"b38"|"b66"|"c6"|"c38"|"b85"|"b75"|"c18"|"c81"|"c44"|"c15"|"a"|"b33"|"b93"|"c59"|"c66"|"c5"|"b31"|"b81"|"c21"|"b17"|"b63"|"b77"|"c39"|"c85"|"b0"|"c1"|"c94"|"c83"|"b78"|"c48"|"b69"|"c46"|"b61"|"b58"|"c49"|"c96"|"c26"|"b98"|"b32"|"c29"|"c70"|"b56"|"b25"|"c43"|"b22"|"b37"|"b60"|"c56"|"b20"|"b72"|"b41"|"b67"|"c82"|"c68"|"c50"|"c19"|"c64"|"c25"|"c41"|"c52"|"c95"|"b86"|"b48"|"c53"|"b94"|"c24"|"b6"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
8,00:00:00.213,0,46,["b22"|"c35"|"c59"|"b64"|"b57"|"b89"|"b65"|"c79"|"b48"|"b39"|"c66"|"c77"|"c46"|"c74"|"c98"|"b29"|"c12"|"b24"|"b14"|"b42"|"c0"|"b81"|"b69"|"b30"|"c20"|"b52"|"b32"|"b20"|"b87"|"c52"|"b0"|"b67"|"b76"|"b33"|"c36"|"c81"|"b12"|"b2"|"c39"|"c96"|"b5"|"c37"|"b79"|"b86"|"b4"|"c17"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
9,00:00:00.236,47,119,["c27"|"c49"|"b1"|"c34"|"c10"|"b24"|"b82"|"c53"|"b68"|"b48"|"c65"|"b35"|"b38"|"c1"|"c9"|"c89"|"b60"|"c11"|"b56"|"b64"|"b7"|"c80"|"c47"|"b58"|"b78"|"b72"|"b88"|"b97"|"b61"|"b20"|"c94"|"c73"|"b45"|"c54"|"c72"|"c46"|"b2"|"b62"|"b44"|"b55"|"b69"|"b22"|"b33"|"b13"|"b40"|"c2"|"c98"|"b37"|"c96"|"c76"|"b26"|"a"|"c42"|"b96"|"b47"|"b81"|"c4"|"c16"|"b42"|"b80"|"c20"|"c40"|"c90"|"c23"|"c68"|"c33"|"b29"|"c74"|"b19"|"c78"|"c19"|"c75"|"c26"|"c18"|"b5"|"c95"|"c85"|"b73"|"c12"|"b31"|"c37"|"c84"|"c17"|"c63"|"b91"|"c39"|"c82"|"c29"|"b34"|"b8"|"c56"|"c86"|"c51"|"b86"|"b67"|"c8"|"b6"|"c62"|"c81"|"c35"|"c99"|"c58"|"b18"|"b79"|"c30"|"b99"|"c6"|"b12"|"c67"|"b50"|"b23"|"b32"|"c71"|"c3"|"c14"|"b41"|"b93"|"c55"|"c15"],PF-Ladder-201-args-Audience-100-Members-PAF-size-102-args.xmi
