run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.170,15,13,["c7"|"c0"|"b13"|"b5"|"b2"|"c22"|"b14"|"b21"|"b24"|"c1"|"b23"|"c3"|"c15"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
1,00:00:00.120,0,41,["b21"|"b5"|"b23"|"b10"|"b17"|"b6"|"c4"|"c21"|"b20"|"c15"|"c23"|"b22"|"c8"|"c18"|"c12"|"c2"|"b24"|"b9"|"c10"|"c11"|"b12"|"c16"|"b18"|"b1"|"b2"|"b16"|"c20"|"c22"|"b8"|"b15"|"c6"|"b4"|"b0"|"c24"|"b14"|"c14"|"c13"|"c17"|"c19"|"b19"|"b7"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
2,00:00:00.118,0,39,["c14"|"b9"|"b22"|"c11"|"c8"|"c22"|"b20"|"b11"|"c17"|"c23"|"c0"|"b23"|"b18"|"c10"|"b13"|"b5"|"b4"|"c6"|"b8"|"b15"|"b2"|"b21"|"c5"|"c2"|"c1"|"b14"|"b0"|"b19"|"c18"|"c7"|"b24"|"b1"|"a"|"c13"|"c12"|"b3"|"c20"|"b16"|"c16"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
3,00:00:00.118,16,45,["b10"|"b2"|"c8"|"c13"|"c3"|"b21"|"c9"|"c5"|"a"|"b14"|"b8"|"b17"|"c12"|"c1"|"b5"|"b6"|"c7"|"c19"|"c17"|"b24"|"c24"|"c23"|"b22"|"c11"|"b18"|"c20"|"c4"|"c14"|"b7"|"b3"|"c16"|"b23"|"b1"|"c18"|"b4"|"b20"|"b15"|"b16"|"b9"|"c22"|"b13"|"c0"|"c10"|"c6"|"c21"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
4,00:00:00.127,0,45,["c17"|"b19"|"c2"|"b18"|"b4"|"c23"|"b14"|"c14"|"c6"|"b5"|"b24"|"c0"|"c8"|"b11"|"c16"|"c4"|"b2"|"c24"|"b20"|"c22"|"c18"|"b9"|"c12"|"b21"|"b1"|"c11"|"c3"|"c13"|"c15"|"c9"|"c20"|"b0"|"c1"|"b12"|"c5"|"b13"|"b3"|"c10"|"b22"|"c21"|"b17"|"b16"|"b8"|"c7"|"b6"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
5,00:00:00.113,6,45,["c20"|"c23"|"b7"|"b13"|"b17"|"c16"|"c22"|"b8"|"c10"|"b4"|"b24"|"b19"|"b0"|"c7"|"c21"|"b6"|"b15"|"b9"|"c15"|"b1"|"c8"|"c5"|"c19"|"c24"|"b11"|"b3"|"b14"|"a"|"b23"|"c6"|"c14"|"b21"|"b18"|"c9"|"b5"|"c2"|"c12"|"c1"|"c4"|"c3"|"b12"|"b2"|"b10"|"b22"|"b16"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
6,00:00:00.084,0,41,["b2"|"b21"|"c1"|"c16"|"c8"|"c22"|"b15"|"c5"|"c0"|"c3"|"b8"|"b5"|"c9"|"c13"|"b7"|"c24"|"c23"|"b14"|"b17"|"c10"|"c11"|"b12"|"c7"|"c15"|"b3"|"b20"|"b16"|"c19"|"c18"|"c6"|"b0"|"c2"|"b4"|"b10"|"c12"|"b1"|"b19"|"c17"|"c14"|"b23"|"a"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
7,00:00:00.087,0,42,["b4"|"c3"|"c7"|"c8"|"b23"|"b22"|"b14"|"b15"|"b3"|"c5"|"c20"|"b9"|"c6"|"c15"|"c0"|"b12"|"a"|"b0"|"c16"|"b7"|"b16"|"b24"|"c12"|"c2"|"c18"|"b5"|"c19"|"b8"|"c14"|"c11"|"c4"|"b18"|"b2"|"b19"|"c23"|"b1"|"c22"|"b13"|"c24"|"b11"|"b10"|"c13"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
8,00:00:00.098,0,50,["c9"|"b4"|"c4"|"b1"|"c2"|"b5"|"c23"|"c20"|"c13"|"c15"|"b12"|"c21"|"c0"|"c10"|"c14"|"b20"|"c22"|"b19"|"c16"|"b16"|"a"|"c24"|"b10"|"b2"|"b23"|"b11"|"b14"|"b0"|"b3"|"c19"|"c7"|"b13"|"b6"|"b8"|"c18"|"c11"|"c3"|"c17"|"b7"|"c5"|"c8"|"b22"|"b21"|"b18"|"b17"|"c1"|"b24"|"b9"|"c6"|"c12"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
9,00:00:00.095,13,16,["b4"|"c23"|"b1"|"b23"|"c19"|"b0"|"b20"|"c18"|"b12"|"c6"|"c16"|"c9"|"b11"|"c1"|"b17"|"c4"],PF-Ladder-51-args-Audience-50-Members-PAF-size-27-args.xmi
