batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:01:00.694,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-0/5246A3B3.xmi
0,00:01:00.694,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-0/337EECEB.xmi
0,00:01:00.694,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-0/152C4495.xmi
1,00:00:52.494,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-1/30618162.xmi
1,00:00:52.494,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-1/22B7B943.xmi
1,00:00:52.494,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-1/0C3214E3.xmi
2,00:00:51.704,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-2/49A81A03.xmi
2,00:00:51.704,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-2/45BEA6DD.xmi
2,00:00:51.704,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-2/52365B76.xmi
3,00:00:51.781,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-3/2F5AEC4D.xmi
3,00:00:51.781,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-3/661DCE77.xmi
3,00:00:51.781,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-3/5668756E.xmi
4,00:00:51.714,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-4/59F96D49.xmi
4,00:00:51.714,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-4/62770983.xmi
4,00:00:51.714,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-4/32D21819.xmi
5,00:00:51.710,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-5/3EBE8A54.xmi
5,00:00:51.710,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-5/67302732.xmi
5,00:00:51.710,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-5/465A757B.xmi
6,00:00:51.748,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-6/5DF1EBF5.xmi
6,00:00:51.748,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-6/0899AD76.xmi
6,00:00:51.748,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-6/4777B0F4.xmi
7,00:00:51.802,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-7/088F471C.xmi
7,00:00:51.802,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-7/1F43B451.xmi
7,00:00:51.802,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-7/05AEC001.xmi
8,00:00:51.911,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-8/48540BEF.xmi
8,00:00:51.911,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-8/734A250D.xmi
8,00:00:51.911,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-8/1B7D2C3E.xmi
9,00:00:52.944,-1.0,0.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-9/4355FC02.xmi
9,00:00:52.944,-3.0,2.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-9/261DDC8B.xmi
9,00:00:52.944,-2.0,1.0,3,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-183113-c2-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-5-Members-PAF-size-12-args.mopt-matching-henshin/batch-9/0010B623.xmi
