run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
19,00:00:00.030,0,27,["c5"|"b18"|"c23"|"c6"|"b7"|"b0"|"c1"|"c2"|"b20"|"b6"|"c19"|"c21"|"c11"|"b5"|"c22"|"c17"|"c12"|"b17"|"c3"|"c20"|"b2"|"b19"|"b24"|"b23"|"b16"|"c15"|"c7"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
20,00:00:00.029,0,32,["c19"|"b22"|"b16"|"c6"|"b10"|"b7"|"c13"|"c22"|"c3"|"b14"|"c21"|"c7"|"a"|"b19"|"b0"|"b12"|"c20"|"b20"|"b23"|"c0"|"b2"|"c17"|"b13"|"b17"|"c24"|"b11"|"c16"|"b18"|"c23"|"c1"|"c12"|"c18"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
21,00:00:00.024,0,42,["c19"|"c2"|"c14"|"c7"|"b12"|"b2"|"b5"|"b20"|"c22"|"b1"|"c21"|"b18"|"b19"|"c8"|"b15"|"c4"|"c12"|"b10"|"c5"|"c23"|"a"|"b17"|"c6"|"b23"|"c0"|"b16"|"c17"|"c3"|"b6"|"c10"|"b21"|"c11"|"b24"|"c1"|"b8"|"b3"|"b7"|"c16"|"c9"|"b22"|"c18"|"b14"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
22,00:00:00.031,0,5,["b13"|"c17"|"c11"|"c20"|"b11"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
23,00:00:00.030,0,4,["c5"|"b9"|"c22"|"b6"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
24,00:00:00.032,0,2,["b5"|"b10"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
25,00:00:00.028,0,35,["c18"|"c16"|"b6"|"b23"|"c3"|"c20"|"c6"|"b1"|"a"|"b12"|"b2"|"b20"|"c17"|"c15"|"b15"|"b3"|"c13"|"c21"|"c0"|"c9"|"c23"|"c4"|"b24"|"b0"|"c24"|"c11"|"b13"|"c19"|"c10"|"b11"|"c1"|"c22"|"c14"|"b19"|"b14"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
26,00:00:00.018,0,2,["b3"|"b1"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
27,00:00:00.018,0,29,["c17"|"b24"|"c23"|"b5"|"b14"|"c13"|"c2"|"c21"|"c22"|"b19"|"c19"|"b21"|"b3"|"c5"|"b13"|"c12"|"b12"|"b10"|"c14"|"b9"|"a"|"b16"|"c9"|"b8"|"c11"|"b22"|"b4"|"b0"|"c4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
28,00:00:00.017,0,18,["b12"|"b7"|"b13"|"b1"|"c12"|"b18"|"c16"|"c9"|"b6"|"c7"|"b4"|"c14"|"c4"|"b23"|"c20"|"b17"|"c2"|"c17"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
