run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
18,00:00:00.161,1,7,["a16"|"a5"|"a48"|"a41"|"a31"|"a38"|"a12"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
19,00:00:00.160,0,5,["a51"|"a13"|"a30"|"a33"|"a40"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
20,00:00:00.164,1,9,["a35"|"a20"|"a26"|"a22"|"a43"|"a45"|"a44"|"a38"|"a47"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
21,00:00:00.189,1,3,["a22"|"a29"|"a2"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
22,00:00:00.221,0,16,["a40"|"a32"|"a12"|"a48"|"a34"|"a19"|"a3"|"a22"|"a13"|"a46"|"a6"|"a41"|"a44"|"a5"|"a36"|"a51"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
23,00:00:00.159,0,26,["a49"|"a16"|"a30"|"a31"|"a47"|"a33"|"a12"|"a46"|"a45"|"a"|"a38"|"a7"|"a17"|"a37"|"a41"|"a23"|"a3"|"a36"|"a2"|"a15"|"a10"|"a22"|"a32"|"a24"|"a11"|"a9"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
24,00:00:00.161,0,49,["a16"|"a12"|"a3"|"a29"|"a27"|"a50"|"a9"|"a49"|"a33"|"a43"|"a36"|"a"|"a1"|"a25"|"a34"|"a40"|"a10"|"a6"|"a41"|"a51"|"a38"|"a15"|"a48"|"a13"|"a37"|"a22"|"a31"|"a2"|"a8"|"a5"|"a19"|"a18"|"a23"|"a30"|"a35"|"a17"|"a45"|"a11"|"a47"|"a44"|"a32"|"a4"|"a14"|"a42"|"a20"|"a39"|"a46"|"a28"|"a26"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
25,00:00:00.165,1,7,["a14"|"a7"|"a38"|"a27"|"a31"|"a49"|"a8"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
26,00:00:00.179,1,0,[],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
27,00:00:00.163,0,45,["a43"|"a40"|"a5"|"a39"|"a4"|"a35"|"a18"|"a3"|"a37"|"a22"|"a50"|"a48"|"a15"|"a29"|"a24"|"a10"|"a23"|"a16"|"a45"|"a6"|"a17"|"a49"|"a"|"a38"|"a25"|"a33"|"a14"|"a51"|"a30"|"a26"|"a27"|"a46"|"a42"|"a8"|"a47"|"a44"|"a11"|"a13"|"a41"|"a21"|"a32"|"a1"|"a12"|"a31"|"a7"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
