run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.050,0,8,["b10"|"c7"|"b0"|"c24"|"c16"|"c4"|"b2"|"b9"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
1,00:00:00.012,0,33,["c7"|"a"|"c17"|"c19"|"b19"|"c9"|"b13"|"c0"|"b1"|"b18"|"b12"|"b11"|"b17"|"c2"|"c15"|"b23"|"b24"|"b4"|"c14"|"c16"|"b9"|"b21"|"b20"|"c6"|"c18"|"b8"|"c3"|"c20"|"b5"|"b3"|"c4"|"c12"|"b15"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
2,00:00:00.007,0,1,["b16"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
3,00:00:00.004,0,0,[],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
4,00:00:00.006,0,4,["b21"|"c21"|"b22"|"c14"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
5,00:00:00.008,0,48,["b11"|"b16"|"b10"|"b3"|"c18"|"b19"|"b24"|"c10"|"c12"|"b9"|"c7"|"c23"|"c11"|"b14"|"b0"|"c22"|"c5"|"b17"|"b20"|"c13"|"c20"|"c15"|"c1"|"c3"|"c9"|"b7"|"b8"|"c24"|"c8"|"c14"|"b21"|"c19"|"b2"|"b12"|"c17"|"a"|"b13"|"c4"|"c0"|"c21"|"c2"|"b23"|"b4"|"b5"|"b1"|"c16"|"b22"|"b18"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
6,00:00:00.005,0,28,["b12"|"c1"|"c21"|"b6"|"b22"|"a"|"b17"|"b8"|"b2"|"c5"|"b4"|"c17"|"c18"|"b11"|"c14"|"c19"|"c4"|"b10"|"c13"|"b16"|"c6"|"b5"|"c8"|"c12"|"c0"|"c15"|"c3"|"c11"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
7,00:00:00.006,0,37,["c14"|"c6"|"c2"|"b8"|"b14"|"b7"|"b5"|"b17"|"c4"|"c22"|"c19"|"c1"|"b3"|"c0"|"c23"|"b10"|"c21"|"b16"|"b19"|"c17"|"b6"|"b20"|"b2"|"c11"|"c8"|"c13"|"b11"|"b24"|"b4"|"c18"|"c10"|"c7"|"b12"|"b13"|"c24"|"b9"|"b21"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
8,00:00:00.004,0,28,["c18"|"c23"|"b5"|"c7"|"a"|"c3"|"b18"|"b6"|"c4"|"c14"|"b2"|"c11"|"b7"|"c22"|"c21"|"c16"|"b20"|"b19"|"c9"|"c5"|"c12"|"c2"|"b0"|"c19"|"b1"|"b14"|"b9"|"c0"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
9,00:00:00.005,0,41,["c23"|"c8"|"c13"|"b22"|"c17"|"c7"|"c9"|"b5"|"b14"|"b24"|"b21"|"b1"|"c1"|"c20"|"a"|"b2"|"c18"|"b16"|"c2"|"b23"|"c21"|"b7"|"b13"|"c0"|"c10"|"c22"|"c3"|"b10"|"c6"|"c15"|"b11"|"b12"|"c14"|"b9"|"b17"|"c24"|"b8"|"b0"|"c4"|"b20"|"c16"],PF-Cycle-51-args-Audience-2-Members-PAF-size-27-args.xmi
