run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.039,0,18,["b8"|"b1"|"b9"|"c4"|"b6"|"c9"|"c6"|"c7"|"b2"|"c0"|"c2"|"c1"|"b5"|"b3"|"a"|"c8"|"c3"|"b0"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
1,00:00:00.007,2,5,["b1"|"a"|"b8"|"b9"|"c6"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
2,00:00:00.005,0,11,["b2"|"b3"|"c6"|"c7"|"b4"|"b0"|"a"|"c9"|"b8"|"c1"|"b5"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
3,00:00:00.004,0,4,["c8"|"c0"|"c5"|"b0"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
4,00:00:00.005,0,10,["b0"|"c3"|"c4"|"b7"|"b2"|"c9"|"c2"|"c8"|"c0"|"b4"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
5,00:00:00.005,0,17,["b0"|"b3"|"b2"|"c2"|"c4"|"b6"|"c3"|"b4"|"c9"|"b7"|"b5"|"c8"|"b8"|"b1"|"c0"|"c1"|"a"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
6,00:00:00.005,2,6,["c5"|"c4"|"c7"|"c6"|"c0"|"b2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
7,00:00:00.005,1,15,["b2"|"c3"|"b9"|"c4"|"b7"|"c1"|"b4"|"b5"|"c2"|"b8"|"b6"|"a"|"c6"|"b3"|"c7"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
8,00:00:00.004,0,19,["b2"|"c3"|"b0"|"b3"|"c9"|"b8"|"c4"|"b9"|"c7"|"b7"|"c2"|"c1"|"b1"|"c0"|"c6"|"c8"|"b6"|"b4"|"a"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
9,00:00:00.003,1,5,["b2"|"c5"|"c9"|"b3"|"c4"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
10,00:00:00.007,0,19,["b3"|"c0"|"c3"|"b0"|"c9"|"c8"|"b8"|"a"|"b7"|"c5"|"b9"|"c2"|"c7"|"c4"|"b1"|"b2"|"c1"|"b4"|"b6"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
11,00:00:00.005,2,1,["a"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
12,00:00:00.005,1,9,["b1"|"c5"|"a"|"c4"|"b5"|"b0"|"b6"|"c6"|"c3"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
13,00:00:00.005,0,10,["b7"|"b0"|"b4"|"c4"|"c6"|"b8"|"b6"|"b3"|"b9"|"c2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
14,00:00:00.005,2,0,[],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
15,00:00:00.005,2,4,["c6"|"c1"|"c0"|"b9"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
16,00:00:00.005,2,5,["c6"|"b8"|"b6"|"c7"|"b4"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
17,00:00:00.005,0,19,["c3"|"c0"|"b4"|"b2"|"a"|"b1"|"b5"|"b0"|"c2"|"c4"|"b3"|"b6"|"b7"|"c8"|"c1"|"b9"|"b8"|"c9"|"c6"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
18,00:00:00.007,2,12,["b9"|"c9"|"c3"|"b8"|"c5"|"b6"|"c2"|"c1"|"b1"|"c7"|"c4"|"b7"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
19,00:00:00.004,0,7,["c7"|"b0"|"c4"|"c8"|"c3"|"b2"|"b4"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
20,00:00:00.004,0,20,["b1"|"b8"|"b7"|"b3"|"b6"|"b5"|"c0"|"c7"|"c2"|"b9"|"b2"|"c5"|"c8"|"c4"|"b0"|"c3"|"c1"|"c6"|"b4"|"c9"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
21,00:00:00.004,2,0,[],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
22,00:00:00.004,2,0,[],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
23,00:00:00.004,0,19,["a"|"b3"|"c2"|"b7"|"c5"|"b1"|"b8"|"b0"|"b6"|"c3"|"b5"|"b9"|"c6"|"b2"|"c0"|"c7"|"c4"|"c1"|"b4"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
24,00:00:00.004,0,16,["c0"|"b3"|"c1"|"c7"|"b5"|"a"|"c8"|"c2"|"b1"|"b8"|"b6"|"c6"|"c5"|"c3"|"b9"|"b2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
25,00:00:00.004,0,11,["b0"|"b4"|"c0"|"b6"|"c9"|"b5"|"c7"|"b3"|"c2"|"b2"|"c6"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
26,00:00:00.005,0,16,["c9"|"b3"|"c4"|"b9"|"c2"|"b5"|"c3"|"b7"|"c0"|"c1"|"b0"|"b2"|"c6"|"b4"|"b6"|"b1"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
27,00:00:00.004,0,18,["b8"|"b1"|"c7"|"c1"|"c5"|"b0"|"b2"|"c6"|"c0"|"b7"|"c9"|"b4"|"c8"|"c3"|"b3"|"b5"|"b9"|"c2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
28,00:00:00.004,1,10,["c3"|"b2"|"c9"|"b1"|"c1"|"b0"|"c5"|"c8"|"b4"|"c2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
29,00:00:00.014,2,3,["b2"|"b4"|"b8"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
30,00:00:00.004,1,12,["b1"|"c5"|"b3"|"c0"|"b6"|"c7"|"b2"|"b4"|"a"|"c6"|"c9"|"c3"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
31,00:00:00.005,1,14,["b0"|"c8"|"b4"|"c1"|"b5"|"c3"|"b8"|"b7"|"b6"|"c2"|"b9"|"c6"|"b1"|"c9"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
32,00:00:00.004,1,5,["c4"|"b5"|"c9"|"b1"|"c0"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
33,00:00:00.003,1,13,["b1"|"c0"|"b7"|"b4"|"b3"|"c8"|"a"|"c9"|"b6"|"b9"|"c3"|"c1"|"c7"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
34,00:00:00.003,0,6,["c0"|"c4"|"b5"|"b0"|"b3"|"c6"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
35,00:00:00.004,2,0,[],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
36,00:00:00.003,2,9,["b4"|"c3"|"b3"|"c2"|"c8"|"a"|"b6"|"b5"|"c6"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
37,00:00:00.004,2,5,["b3"|"b7"|"b4"|"c7"|"c1"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
38,00:00:00.004,0,16,["b4"|"b6"|"c0"|"b2"|"b5"|"b0"|"b8"|"c1"|"c7"|"c5"|"c8"|"c3"|"a"|"c4"|"c2"|"b1"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
39,00:00:00.004,2,0,[],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
40,00:00:00.005,0,19,["c2"|"c5"|"c6"|"a"|"b7"|"c3"|"c7"|"b1"|"c0"|"b6"|"b3"|"b9"|"b5"|"b8"|"c1"|"b4"|"c8"|"c9"|"b0"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
41,00:00:00.004,0,15,["b6"|"c3"|"b5"|"c5"|"c4"|"c1"|"c0"|"c9"|"b8"|"b3"|"c8"|"b4"|"b7"|"a"|"b0"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
42,00:00:00.004,2,1,["c9"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
43,00:00:00.005,0,12,["c7"|"b7"|"b1"|"c0"|"c9"|"b9"|"b0"|"b6"|"b2"|"c3"|"b8"|"b3"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
44,00:00:00.004,2,6,["c3"|"b8"|"b2"|"b5"|"b4"|"c4"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
45,00:00:00.004,2,0,[],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
46,00:00:00.004,0,19,["b9"|"c6"|"c4"|"b7"|"b4"|"c9"|"a"|"b1"|"b2"|"c2"|"c3"|"c7"|"c8"|"b5"|"c0"|"c5"|"c1"|"b0"|"b8"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
47,00:00:00.004,2,9,["c3"|"c1"|"a"|"c2"|"b6"|"c6"|"b2"|"b4"|"c5"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
48,00:00:00.005,0,19,["b4"|"b3"|"b0"|"b2"|"b9"|"c5"|"c3"|"c2"|"c1"|"c0"|"a"|"b6"|"c9"|"c6"|"b1"|"b8"|"c8"|"c4"|"b7"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
49,00:00:00.004,2,5,["c7"|"c3"|"b4"|"c4"|"a"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
50,00:00:00.004,2,3,["b7"|"c1"|"a"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
51,00:00:00.004,0,14,["c6"|"c0"|"b2"|"c1"|"b0"|"b6"|"b3"|"b7"|"b4"|"c2"|"b9"|"b1"|"c7"|"c5"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
52,00:00:00.004,0,16,["b6"|"b0"|"b3"|"b5"|"b9"|"c4"|"c0"|"b7"|"c5"|"c9"|"a"|"c8"|"c6"|"b4"|"b8"|"c7"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
53,00:00:00.004,0,12,["c6"|"c5"|"b1"|"c4"|"b4"|"b5"|"b0"|"b7"|"c0"|"b6"|"c7"|"c2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
54,00:00:00.003,2,3,["b7"|"c1"|"c0"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
55,00:00:00.007,0,18,["b0"|"c9"|"c2"|"c5"|"c0"|"c6"|"b6"|"c8"|"b7"|"b9"|"a"|"b3"|"c7"|"b8"|"c4"|"c1"|"b4"|"b2"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
56,00:00:00.004,1,7,["b3"|"c3"|"b8"|"b9"|"c4"|"b7"|"b5"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
57,00:00:00.008,1,4,["b2"|"b9"|"c1"|"b3"],PF-Ladder-21-args-Audience-2-Members-PAF-size-12-args.xmi
