run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.257,0,89,["b40"|"b47"|"c45"|"b26"|"c14"|"b18"|"c36"|"b15"|"c41"|"b43"|"b13"|"c28"|"c35"|"b9"|"c5"|"c22"|"c2"|"b1"|"c37"|"b10"|"b42"|"c17"|"c1"|"b22"|"b37"|"c6"|"c15"|"b21"|"c7"|"b12"|"c27"|"b36"|"c18"|"b5"|"b33"|"c12"|"c34"|"b48"|"b44"|"c44"|"b0"|"c23"|"b49"|"b25"|"b7"|"c19"|"c13"|"c8"|"c25"|"c11"|"c21"|"b24"|"c9"|"b34"|"a"|"b38"|"c42"|"c3"|"b8"|"c32"|"b28"|"c16"|"c0"|"c4"|"c20"|"b39"|"b27"|"c26"|"c39"|"c30"|"b46"|"c10"|"b2"|"c46"|"b19"|"c38"|"b20"|"b17"|"c43"|"c47"|"c49"|"b16"|"b6"|"c40"|"b41"|"b29"|"c29"|"b45"|"b23"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
1,00:00:00.147,0,95,["c20"|"c12"|"b18"|"b42"|"c25"|"b15"|"b44"|"b32"|"b19"|"c4"|"b31"|"c10"|"b11"|"b8"|"c30"|"b14"|"b43"|"b33"|"b34"|"b5"|"c28"|"c47"|"b45"|"c48"|"c37"|"b49"|"c3"|"b41"|"c35"|"b24"|"b27"|"c44"|"c34"|"b28"|"c17"|"b0"|"b40"|"c8"|"c1"|"b35"|"c23"|"c0"|"b29"|"b7"|"c38"|"c5"|"c9"|"b13"|"c32"|"b48"|"c6"|"b17"|"b38"|"c7"|"b26"|"b21"|"c41"|"b9"|"b2"|"c11"|"c26"|"c40"|"c29"|"c43"|"c27"|"b23"|"b6"|"c18"|"b22"|"b10"|"b4"|"c24"|"b25"|"c46"|"c45"|"c49"|"c33"|"c21"|"c36"|"b3"|"c2"|"c14"|"a"|"b47"|"b12"|"c15"|"b46"|"c39"|"c31"|"b30"|"c22"|"b36"|"c16"|"b20"|"b16"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
2,00:00:00.149,0,67,["b45"|"b44"|"c27"|"c1"|"c28"|"b0"|"b5"|"b25"|"c18"|"c12"|"b41"|"b1"|"b19"|"c41"|"b13"|"b31"|"b32"|"b34"|"c10"|"c40"|"b39"|"c19"|"c21"|"c6"|"b40"|"b11"|"c2"|"c7"|"b22"|"c25"|"c49"|"b9"|"c24"|"a"|"c47"|"b46"|"b38"|"b29"|"c32"|"c11"|"c46"|"c20"|"c26"|"b36"|"c16"|"c29"|"c35"|"b27"|"c33"|"b47"|"c36"|"c34"|"c31"|"c23"|"b14"|"b35"|"b33"|"b2"|"c45"|"b26"|"b17"|"b8"|"c14"|"c5"|"c8"|"c42"|"c30"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
3,00:00:00.144,0,85,["c30"|"b0"|"b27"|"b22"|"b32"|"b41"|"c14"|"b10"|"c24"|"b11"|"b13"|"b17"|"c16"|"c43"|"b46"|"c31"|"c15"|"b2"|"b15"|"b40"|"c17"|"c28"|"c18"|"c4"|"b43"|"b49"|"c26"|"b23"|"c0"|"c2"|"c34"|"c42"|"b24"|"c45"|"b26"|"b38"|"b20"|"c35"|"b1"|"b28"|"c33"|"b25"|"c23"|"c6"|"c32"|"c3"|"c49"|"c7"|"c20"|"b7"|"b14"|"c22"|"b5"|"c37"|"b35"|"c19"|"b48"|"c9"|"c25"|"b42"|"b8"|"c46"|"c21"|"c38"|"c29"|"c41"|"b18"|"c40"|"c1"|"b3"|"b29"|"c12"|"c39"|"c27"|"a"|"c47"|"b19"|"b37"|"b31"|"b9"|"b6"|"b30"|"c44"|"b4"|"b47"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
4,00:00:00.099,0,71,["c27"|"c11"|"c21"|"c33"|"b13"|"c48"|"c49"|"c23"|"c41"|"b45"|"c35"|"b5"|"c32"|"b14"|"b8"|"c13"|"c16"|"b40"|"b4"|"c24"|"b10"|"c1"|"b25"|"c38"|"b12"|"c34"|"c7"|"b3"|"b36"|"b18"|"c12"|"b27"|"c37"|"b32"|"b20"|"b33"|"b30"|"c20"|"b37"|"c44"|"b31"|"c3"|"b1"|"c30"|"b16"|"c8"|"c6"|"b41"|"b2"|"b7"|"b22"|"c29"|"c15"|"b0"|"b34"|"b29"|"c42"|"c46"|"c10"|"b49"|"b38"|"b39"|"c14"|"c47"|"b19"|"b11"|"c9"|"b24"|"b21"|"b23"|"a"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
5,00:00:00.105,0,31,["b22"|"b20"|"b3"|"c31"|"b2"|"c1"|"c28"|"c14"|"c4"|"b37"|"b29"|"c8"|"c38"|"c46"|"c36"|"b15"|"c43"|"b6"|"c5"|"b48"|"c49"|"b11"|"b5"|"b32"|"c15"|"c37"|"c44"|"b7"|"b12"|"c11"|"b27"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
6,00:00:00.154,0,96,["c4"|"c30"|"b47"|"c5"|"c32"|"c34"|"c31"|"b10"|"b2"|"c16"|"b5"|"a"|"b0"|"c21"|"b1"|"b14"|"c49"|"b33"|"b45"|"c37"|"b7"|"c23"|"b44"|"c24"|"b49"|"c46"|"c11"|"c48"|"b37"|"c40"|"c0"|"b28"|"b35"|"b4"|"c9"|"b31"|"b3"|"b27"|"c26"|"b18"|"c47"|"b9"|"c42"|"c17"|"b21"|"c45"|"b20"|"b8"|"b15"|"c28"|"b26"|"b17"|"c6"|"b19"|"c33"|"c7"|"b34"|"b25"|"b42"|"b11"|"c19"|"c38"|"b39"|"c44"|"b36"|"c20"|"c43"|"c1"|"c8"|"b46"|"c39"|"c35"|"b38"|"c2"|"c14"|"b29"|"c41"|"b41"|"c29"|"b48"|"c10"|"c36"|"b23"|"b40"|"c12"|"c13"|"c18"|"b16"|"c3"|"b43"|"c27"|"c15"|"b22"|"b13"|"b32"|"b6"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
7,00:00:00.141,0,84,["b35"|"c35"|"c10"|"c40"|"c28"|"b34"|"b31"|"c23"|"c5"|"b28"|"b22"|"b2"|"c7"|"b1"|"b48"|"b42"|"b49"|"c36"|"c20"|"c18"|"c22"|"b45"|"c13"|"c29"|"c46"|"c2"|"c41"|"b36"|"c48"|"c9"|"a"|"b40"|"c19"|"c25"|"c4"|"c37"|"b13"|"c39"|"b37"|"c31"|"c15"|"c26"|"c42"|"c14"|"b12"|"b19"|"c17"|"b30"|"b15"|"c16"|"c3"|"b0"|"b6"|"b21"|"b18"|"b20"|"c45"|"c49"|"b46"|"b24"|"b41"|"b9"|"c0"|"b25"|"b32"|"b7"|"b39"|"c27"|"b43"|"b44"|"b16"|"b5"|"c21"|"c32"|"c43"|"c30"|"b4"|"b11"|"b3"|"c11"|"c24"|"b17"|"c38"|"b27"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
8,00:00:00.115,0,0,[],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
9,00:00:00.131,0,70,["b29"|"b40"|"b12"|"b7"|"c34"|"b1"|"c22"|"c26"|"c43"|"c37"|"b27"|"b3"|"b5"|"b15"|"c25"|"c24"|"b35"|"b30"|"c47"|"b9"|"b6"|"c41"|"c9"|"b0"|"c35"|"c28"|"c15"|"c7"|"c38"|"b42"|"b17"|"b25"|"c48"|"c44"|"b24"|"b39"|"c21"|"b31"|"b34"|"c13"|"b36"|"c36"|"b41"|"c11"|"b32"|"c10"|"b37"|"b14"|"c0"|"c14"|"c32"|"b8"|"a"|"c27"|"b26"|"c5"|"b38"|"b45"|"b4"|"c6"|"c19"|"c29"|"c1"|"b47"|"c3"|"b22"|"c18"|"b49"|"c23"|"b20"],PF-Cycle-101-args-Audience-50-Members-PAF-size-52-args.xmi
