batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:59.353,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-0/74AA9C72.xmi
1,00:00:51.890,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-1/760F11CF.xmi
2,00:00:50.982,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-2/291FA205.xmi
3,00:00:51.100,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-3/15F73735.xmi
4,00:00:50.948,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-4/6FC3CF0E.xmi
5,00:00:51.412,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-5/54F59990.xmi
6,00:00:51.182,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-6/35E46661.xmi
7,00:00:51.119,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-7/4D77048C.xmi
8,00:00:51.163,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-8/69A21632.xmi
9,00:00:51.518,-4.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110950-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-4-args.mopt-matching-henshin/batch-9/287B5EA6.xmi
