batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:28.372,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-0/0E04CCF8.xmi
1,00:00:23.723,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-1/70AF63C0.xmi
2,00:00:22.102,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-2/7BEB8085.xmi
3,00:00:22.004,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-3/666FC565.xmi
4,00:00:21.971,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-4/78F8A4A8.xmi
5,00:00:22.039,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-5/47A67C1A.xmi
6,00:00:22.168,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-6/4654C3C8.xmi
7,00:00:22.116,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-7/1AF62258.xmi
8,00:00:22.041,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-8/775F80C9.xmi
9,00:00:21.991,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111022-c1-argumentation-framework-argmatsat-PF-Ladder-21-args-Audience-2-Members-PAF-size-17-args.mopt-matching-henshin/batch-9/4831D20A.xmi
