run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
16,00:00:00.005,0,18,["b2"|"b23"|"b11"|"c4"|"b5"|"c12"|"b16"|"b13"|"c17"|"c0"|"c13"|"c16"|"c6"|"c19"|"b20"|"b1"|"c9"|"c24"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
17,00:00:00.005,0,47,["c16"|"c8"|"b15"|"b19"|"b0"|"c10"|"b21"|"b6"|"b12"|"b1"|"c21"|"c22"|"c3"|"b16"|"c14"|"c5"|"b17"|"b8"|"b3"|"c7"|"b22"|"b11"|"c18"|"c4"|"c6"|"c15"|"c9"|"b5"|"c23"|"b18"|"b20"|"b14"|"c19"|"b2"|"c24"|"b10"|"b13"|"b4"|"c11"|"c2"|"c17"|"a"|"c0"|"b24"|"c12"|"b9"|"b7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
18,00:00:00.005,0,9,["b8"|"b9"|"b17"|"c1"|"c8"|"b22"|"c3"|"c13"|"c12"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
19,00:00:00.005,0,3,["b18"|"b20"|"c8"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
20,00:00:00.003,0,13,["c24"|"c23"|"c17"|"b6"|"c18"|"b12"|"c21"|"b0"|"b11"|"b10"|"b2"|"c1"|"c19"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
21,00:00:00.005,0,5,["c10"|"c20"|"c21"|"c8"|"c5"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
22,00:00:00.005,0,19,["b20"|"b23"|"c12"|"c23"|"b18"|"c3"|"c19"|"c0"|"b14"|"a"|"b19"|"c14"|"c13"|"b11"|"c8"|"b12"|"b5"|"b8"|"b0"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
23,00:00:00.005,2,7,["c21"|"b16"|"a"|"b5"|"b1"|"c8"|"c11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
24,00:00:00.004,0,4,["b5"|"b19"|"b10"|"b18"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
25,00:00:00.010,0,34,["c0"|"c12"|"b13"|"c8"|"c13"|"c15"|"b22"|"c18"|"c3"|"c17"|"c11"|"c21"|"b15"|"b20"|"b19"|"b14"|"c7"|"b17"|"c22"|"c16"|"b18"|"c1"|"b12"|"b8"|"c10"|"c4"|"b5"|"b10"|"b16"|"c14"|"b6"|"b4"|"c23"|"b9"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
26,00:00:00.013,0,25,["c9"|"b3"|"b5"|"b8"|"c6"|"c14"|"c8"|"a"|"b17"|"c24"|"c1"|"b0"|"c20"|"c17"|"c16"|"b9"|"b23"|"c11"|"c22"|"b16"|"b12"|"b4"|"c0"|"b7"|"b11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
27,00:00:00.005,0,15,["c8"|"b24"|"b23"|"b20"|"a"|"b18"|"c17"|"b15"|"b9"|"b8"|"b11"|"b1"|"b2"|"c12"|"c7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
28,00:00:00.004,0,20,["b16"|"c3"|"b9"|"b0"|"b23"|"c20"|"b17"|"c7"|"b20"|"b15"|"c10"|"b6"|"c15"|"b22"|"b8"|"b19"|"c14"|"b11"|"c11"|"c2"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
29,00:00:00.004,0,22,["c3"|"c8"|"b5"|"c18"|"c16"|"c2"|"b0"|"c23"|"c21"|"b4"|"b19"|"b9"|"b20"|"b24"|"c4"|"c1"|"b14"|"c6"|"b6"|"a"|"b18"|"c14"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
30,00:00:00.005,0,18,["b1"|"c19"|"b16"|"b2"|"c13"|"c3"|"b3"|"c20"|"b19"|"c0"|"c18"|"c16"|"c5"|"b8"|"b7"|"b5"|"c1"|"b15"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
31,00:00:00.005,0,47,["c5"|"b15"|"c12"|"c23"|"c2"|"c14"|"b9"|"c7"|"b6"|"c17"|"c16"|"b16"|"c21"|"c0"|"c4"|"c24"|"b1"|"b8"|"c3"|"b13"|"b2"|"b11"|"c15"|"c11"|"b20"|"c6"|"c9"|"c19"|"b10"|"a"|"c13"|"b4"|"b22"|"b0"|"b23"|"c8"|"b7"|"b19"|"c20"|"c10"|"b17"|"c18"|"b12"|"b21"|"b3"|"b18"|"b14"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
32,00:00:00.004,0,41,["b17"|"c5"|"c6"|"b7"|"c11"|"c2"|"b9"|"c7"|"c0"|"b5"|"c4"|"c8"|"b2"|"c24"|"c18"|"b0"|"c9"|"b6"|"c10"|"b19"|"c13"|"b11"|"b16"|"a"|"c15"|"c23"|"c17"|"c1"|"b4"|"c16"|"b13"|"b14"|"c3"|"b22"|"b15"|"b24"|"b1"|"c14"|"b21"|"c12"|"b23"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
33,00:00:00.005,0,26,["c18"|"b15"|"b1"|"c0"|"b14"|"b21"|"b8"|"b18"|"b19"|"a"|"c2"|"b4"|"b11"|"c8"|"b9"|"b17"|"b7"|"c3"|"c22"|"c16"|"b3"|"c17"|"b2"|"c5"|"b10"|"b5"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
34,00:00:00.005,0,49,["b13"|"c20"|"b2"|"c4"|"c5"|"c11"|"c0"|"b14"|"b7"|"c13"|"b15"|"b22"|"b11"|"c23"|"b8"|"b9"|"c18"|"c6"|"b23"|"b6"|"c19"|"c2"|"a"|"c7"|"b20"|"b19"|"b16"|"c17"|"b24"|"c15"|"c16"|"c9"|"c10"|"b18"|"b12"|"c14"|"b0"|"b17"|"b10"|"b5"|"c21"|"c3"|"c1"|"b4"|"c8"|"b1"|"c24"|"c22"|"b3"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
35,00:00:00.004,2,16,["b4"|"b14"|"b16"|"c10"|"b9"|"c7"|"b1"|"b11"|"c16"|"c23"|"c20"|"b23"|"c5"|"b17"|"c1"|"b13"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
36,00:00:00.003,2,40,["c10"|"c24"|"c23"|"b20"|"b23"|"b24"|"b1"|"c20"|"c15"|"c16"|"c14"|"c1"|"b4"|"c12"|"c19"|"c2"|"b2"|"c5"|"b16"|"b5"|"b14"|"c11"|"c13"|"c4"|"b10"|"c22"|"b9"|"c18"|"c8"|"b3"|"c21"|"b8"|"b19"|"c9"|"b22"|"b13"|"c7"|"c17"|"b17"|"b7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
37,00:00:00.004,0,46,["c20"|"b23"|"c7"|"c22"|"b0"|"c0"|"c18"|"c6"|"c10"|"b1"|"b11"|"c13"|"c11"|"c19"|"c5"|"c23"|"c24"|"b16"|"b14"|"b6"|"b13"|"c2"|"c16"|"c12"|"b10"|"b21"|"b12"|"c14"|"b8"|"c15"|"c9"|"b5"|"a"|"b4"|"b20"|"b24"|"c1"|"b22"|"b7"|"c8"|"b3"|"b2"|"c21"|"c17"|"c3"|"b9"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
38,00:00:00.004,0,20,["c9"|"c2"|"b23"|"b15"|"b3"|"c19"|"b0"|"c3"|"c12"|"c21"|"b4"|"c15"|"b18"|"c11"|"c13"|"b2"|"c7"|"b19"|"c16"|"b11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
