batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:20.878,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-0/44DE94C3.xmi
1,00:00:12.448,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-1/1F261726.xmi
2,00:00:11.573,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-2/47A6A102.xmi
3,00:00:11.464,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-3/57D060AE.xmi
4,00:00:11.497,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-4/4E686CE8.xmi
5,00:00:11.566,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-5/4733BEEA.xmi
6,00:00:11.365,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-6/467DA949.xmi
7,00:00:11.361,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-7/059ED6DE.xmi
8,00:00:11.374,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-8/69F3A623.xmi
9,00:00:11.602,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111052-c1-argumentation-framework-argmatsat-PF-Tree-12-args-Audience-1-Members-PAF-size-7-args.mopt-matching-henshin/batch-9/00C5DD21.xmi
