batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:17.947,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-0/14F3C6FC.xmi
1,00:00:17.022,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-1/14BE49FC.xmi
2,00:00:13.276,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-2/649F36ED.xmi
3,00:00:13.291,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-3/2E6C8F1C.xmi
4,00:00:13.191,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-4/4231B42C.xmi
5,00:00:13.219,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-5/328F8255.xmi
6,00:00:13.180,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-6/1BF5DB6E.xmi
7,00:00:13.189,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-7/140FAB0A.xmi
8,00:00:13.221,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-8/203F2A12.xmi
9,00:00:13.222,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110951-c1-argumentation-framework-argmatsat-PF-Cycle-51-args-Audience-1-Members-PAF-size-27-args.mopt-matching-henshin/batch-9/6A289D10.xmi
