batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:10:25.072,-14.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-0/344E49FD.xmi
1,00:10:17.896,-13.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-1/08131C21.xmi
2,00:10:09.655,-13.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-2/797F7B9C.xmi
3,00:10:38.618,-15.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-3/6CB4D110.xmi
4,00:10:12.526,-13.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-4/04E7C0C8.xmi
5,00:10:17.256,-14.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-5/2918A4D7.xmi
6,00:10:20.162,-15.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-6/328C30B0.xmi
7,00:10:12.464,-13.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-7/30CE1F52.xmi
8,00:10:40.499,-15.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-8/6F72526F.xmi
9,00:10:16.050,-15.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-162229-c1-argumentation-framework-argmatsat-PF-Ladder-51-args-Audience-50-Members-PAF-size-40-args.mopt-matching-henshin/batch-9/0B99756D.xmi
