run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.036,0,16,["a41"|"a49"|"a19"|"a9"|"a6"|"a33"|"a7"|"a47"|"a29"|"a10"|"a20"|"a42"|"a46"|"a44"|"a48"|"a37"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
1,00:00:00.005,0,9,["a20"|"a49"|"a21"|"a43"|"a42"|"a39"|"a3"|"a40"|"a26"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
2,00:00:00.006,0,46,["a35"|"a2"|"a43"|"a45"|"a49"|"a9"|"a33"|"a26"|"a28"|"a37"|"a23"|"a18"|"a17"|"a44"|"a22"|"a3"|"a42"|"a14"|"a13"|"a16"|"a11"|"a30"|"a51"|"a36"|"a46"|"a41"|"a40"|"a47"|"a15"|"a27"|"a"|"a7"|"a12"|"a34"|"a50"|"a32"|"a25"|"a24"|"a31"|"a8"|"a29"|"a21"|"a20"|"a38"|"a48"|"a5"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
3,00:00:00.009,0,15,["a45"|"a38"|"a39"|"a8"|"a43"|"a35"|"a5"|"a51"|"a44"|"a20"|"a16"|"a31"|"a28"|"a3"|"a24"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
4,00:00:00.010,1,17,["a39"|"a1"|"a30"|"a50"|"a43"|"a20"|"a22"|"a24"|"a38"|"a47"|"a11"|"a19"|"a8"|"a29"|"a14"|"a3"|"a34"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
5,00:00:00.006,0,32,["a5"|"a36"|"a3"|"a47"|"a23"|"a4"|"a"|"a6"|"a8"|"a46"|"a17"|"a19"|"a38"|"a32"|"a15"|"a44"|"a9"|"a21"|"a35"|"a1"|"a24"|"a50"|"a49"|"a28"|"a10"|"a27"|"a25"|"a41"|"a40"|"a7"|"a16"|"a45"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
6,00:00:00.004,0,2,["a7"|"a50"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
7,00:00:00.010,0,39,["a12"|"a26"|"a23"|"a39"|"a32"|"a29"|"a43"|"a24"|"a41"|"a7"|"a14"|"a46"|"a27"|"a11"|"a1"|"a17"|"a48"|"a3"|"a6"|"a10"|"a8"|"a51"|"a42"|"a19"|"a31"|"a22"|"a25"|"a44"|"a30"|"a28"|"a35"|"a5"|"a18"|"a49"|"a15"|"a16"|"a13"|"a50"|"a4"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
8,00:00:00.005,0,40,["a6"|"a8"|"a17"|"a20"|"a33"|"a23"|"a22"|"a28"|"a15"|"a12"|"a48"|"a27"|"a5"|"a13"|"a41"|"a19"|"a3"|"a21"|"a"|"a38"|"a42"|"a50"|"a39"|"a14"|"a16"|"a25"|"a32"|"a4"|"a43"|"a9"|"a47"|"a7"|"a31"|"a45"|"a51"|"a1"|"a36"|"a35"|"a29"|"a10"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
9,00:00:00.005,0,0,[],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
10,00:00:00.010,1,9,["a31"|"a50"|"a27"|"a32"|"a39"|"a20"|"a38"|"a4"|"a26"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
11,00:00:00.005,1,32,["a51"|"a20"|"a2"|"a46"|"a15"|"a9"|"a50"|"a16"|"a17"|"a45"|"a27"|"a7"|"a43"|"a40"|"a30"|"a12"|"a4"|"a8"|"a6"|"a25"|"a22"|"a29"|"a18"|"a5"|"a21"|"a24"|"a38"|"a31"|"a"|"a49"|"a10"|"a33"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
12,00:00:00.006,0,47,["a35"|"a39"|"a36"|"a28"|"a34"|"a33"|"a47"|"a48"|"a"|"a7"|"a24"|"a4"|"a20"|"a17"|"a50"|"a27"|"a43"|"a45"|"a5"|"a10"|"a8"|"a29"|"a40"|"a14"|"a38"|"a16"|"a13"|"a23"|"a22"|"a30"|"a32"|"a26"|"a18"|"a41"|"a44"|"a42"|"a9"|"a31"|"a11"|"a15"|"a21"|"a6"|"a49"|"a46"|"a51"|"a25"|"a2"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
13,00:00:00.004,0,28,["a36"|"a46"|"a32"|"a41"|"a6"|"a45"|"a19"|"a47"|"a24"|"a16"|"a25"|"a31"|"a8"|"a39"|"a26"|"a3"|"a29"|"a15"|"a17"|"a37"|"a"|"a10"|"a35"|"a51"|"a42"|"a49"|"a27"|"a28"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
14,00:00:00.004,0,36,["a22"|"a6"|"a25"|"a37"|"a39"|"a18"|"a8"|"a19"|"a41"|"a44"|"a24"|"a7"|"a21"|"a43"|"a14"|"a20"|"a46"|"a26"|"a29"|"a11"|"a32"|"a45"|"a33"|"a10"|"a28"|"a15"|"a51"|"a40"|"a34"|"a12"|"a9"|"a30"|"a3"|"a2"|"a48"|"a36"],PF-Tree-52-args-Audience-2-Members-PAF-size-14-args.xmi
