run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.116,1,36,["b11"|"c24"|"c17"|"b13"|"b21"|"c22"|"c3"|"b7"|"b17"|"b1"|"c6"|"b6"|"c0"|"b20"|"c11"|"c5"|"b3"|"b16"|"b2"|"b5"|"c2"|"b18"|"a"|"b22"|"b9"|"c7"|"b15"|"c13"|"c14"|"c16"|"c12"|"c21"|"c23"|"b4"|"b12"|"b14"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
1,00:00:00.033,0,47,["b24"|"c7"|"c14"|"b10"|"b0"|"a"|"b6"|"b22"|"c1"|"b3"|"c23"|"b14"|"c22"|"b17"|"c5"|"b12"|"c20"|"b19"|"b8"|"b13"|"c10"|"b1"|"b23"|"b9"|"c12"|"c6"|"b4"|"c18"|"c4"|"b21"|"c8"|"c17"|"b20"|"b15"|"c16"|"b18"|"b16"|"b7"|"c19"|"c21"|"c11"|"c13"|"b5"|"c9"|"c0"|"c2"|"c15"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
2,00:00:00.031,1,39,["b19"|"c18"|"b14"|"b12"|"b24"|"b7"|"b4"|"c1"|"b2"|"c6"|"c14"|"b10"|"c23"|"c3"|"b22"|"b18"|"b20"|"c20"|"a"|"b9"|"b5"|"b6"|"c17"|"b1"|"c10"|"b15"|"c15"|"c0"|"c24"|"c16"|"b3"|"b8"|"c13"|"c22"|"b13"|"c9"|"c11"|"b11"|"b21"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
3,00:00:00.037,0,12,["c8"|"c22"|"c16"|"a"|"b22"|"c18"|"b9"|"b18"|"c21"|"b11"|"b13"|"b6"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
4,00:00:00.036,0,15,["b23"|"c23"|"c21"|"b20"|"a"|"b11"|"b3"|"b16"|"c12"|"c8"|"c9"|"b8"|"b21"|"c20"|"b18"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
5,00:00:00.032,0,29,["c8"|"b7"|"b22"|"b16"|"b14"|"c11"|"b3"|"b1"|"c12"|"c5"|"a"|"c14"|"b15"|"b17"|"c20"|"b21"|"c23"|"b23"|"b11"|"b20"|"c18"|"c24"|"b2"|"b6"|"b5"|"b10"|"c15"|"c0"|"b18"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
6,00:00:00.024,0,24,["b5"|"b9"|"c17"|"b3"|"b8"|"c5"|"c23"|"b6"|"b16"|"c19"|"c4"|"b23"|"c13"|"c18"|"b10"|"c11"|"b22"|"c9"|"b17"|"b13"|"c1"|"c12"|"b2"|"b18"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
7,00:00:00.018,0,9,["c10"|"c5"|"c0"|"b19"|"c7"|"c18"|"c22"|"c1"|"c19"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
8,00:00:00.025,0,22,["c8"|"c22"|"c18"|"b16"|"c19"|"c12"|"b15"|"c0"|"c14"|"b0"|"c1"|"b3"|"b14"|"b17"|"b24"|"b22"|"b8"|"b19"|"c4"|"c2"|"b11"|"b9"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
9,00:00:00.032,0,29,["c10"|"c5"|"b24"|"c2"|"c7"|"c18"|"c4"|"c3"|"b16"|"b17"|"b1"|"b4"|"c19"|"b21"|"c1"|"c14"|"b14"|"c21"|"b2"|"c0"|"b9"|"a"|"b8"|"c17"|"b23"|"c16"|"c23"|"b0"|"c15"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
10,00:00:00.027,0,19,["c10"|"c17"|"c14"|"b2"|"b12"|"b13"|"b11"|"c12"|"c19"|"c18"|"c5"|"b14"|"b15"|"b24"|"c23"|"c9"|"b3"|"c24"|"b16"],PF-Ladder-51-args-Audience-10-Members-PAF-size-40-args.xmi
