batch-id,duration,o-MaximisePFWithAcceptableTopics,o-MinimiseArgumentsPutForward,solutions-found,solution-model
0,00:00:23.437,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-0/16073FA8.xmi
1,00:00:13.886,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-1/683A05BC.xmi
2,00:00:12.419,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-2/0E23D9DF.xmi
3,00:00:12.443,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-3/3E6918BC.xmi
4,00:00:12.371,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-4/5D1501FD.xmi
5,00:00:12.383,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-5/730D5609.xmi
6,00:00:12.530,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-6/638E1538.xmi
7,00:00:12.342,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-7/702FB97B.xmi
8,00:00:12.295,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-8/1CF332DD.xmi
9,00:00:12.487,-1.0,0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180412-184220-c2-argumentation-framework-argmatsat-PF-Tree-52-args-Audience-1-Members-PAF-size-14-args.mopt-matching-henshin/batch-9/3DE295EE.xmi
