batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:21.572,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-0/77CB9CD1.xmi
1,00:00:13.090,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-1/4F547880.xmi
2,00:00:12.303,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-2/6A47C6D7.xmi
3,00:00:12.326,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-3/0A49B362.xmi
4,00:00:12.180,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-4/00F522A2.xmi
5,00:00:12.252,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-5/1B6A3233.xmi
6,00:00:12.237,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-6/7DAB840F.xmi
7,00:00:12.228,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-7/0089F632.xmi
8,00:00:12.205,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-8/302E06F6.xmi
9,00:00:12.319,-1.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-111315-c1-argumentation-framework-argmatsat-PF-Tree-22-args-Audience-1-Members-PAF-size-18-args.mopt-matching-henshin/batch-9/62675508.xmi
