batch-id,duration,o-MaximisePFWithAcceptableTopics,solutions-found,solution-model
0,00:00:57.971,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-0/7428DE63.xmi
1,00:00:52.274,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-1/78AD8820.xmi
2,00:00:51.488,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-2/0A80C752.xmi
3,00:00:51.587,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-3/679263ED.xmi
4,00:00:51.440,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-4/7D1F92A5.xmi
5,00:00:51.503,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-5/05CCAF16.xmi
6,00:00:51.363,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-6/6B256FA7.xmi
7,00:00:51.439,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-7/4C07B734.xmi
8,00:00:51.420,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-8/69A262F4.xmi
9,00:00:51.540,-0.0,1,/tmp/uk.ac.kcl.mdeoptimiser.parallel-experiments-executor/mdeo-results/experiment-180408-110952-c1-argumentation-framework-argmatsat-PF-Ladder-11-args-Audience-5-Members-PAF-size-10-args.mopt-matching-henshin/batch-9/49588625.xmi
