run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.042,2,8,["a24"|"a47"|"a31"|"a51"|"a38"|"a15"|"a32"|"a2"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
1,00:00:00.012,2,26,["a16"|"a23"|"a11"|"a21"|"a48"|"a24"|"a12"|"a7"|"a30"|"a22"|"a51"|"a4"|"a3"|"a46"|"a38"|"a42"|"a13"|"a35"|"a31"|"a19"|"a29"|"a2"|"a8"|"a45"|"a10"|"a"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
2,00:00:00.007,2,7,["a39"|"a34"|"a24"|"a26"|"a25"|"a14"|"a22"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
3,00:00:00.004,2,16,["a20"|"a30"|"a12"|"a1"|"a15"|"a13"|"a28"|"a35"|"a49"|"a4"|"a32"|"a3"|"a14"|"a23"|"a48"|"a7"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
4,00:00:00.005,2,8,["a23"|"a35"|"a29"|"a15"|"a39"|"a21"|"a51"|"a11"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
5,00:00:00.005,2,35,["a9"|"a45"|"a13"|"a27"|"a39"|"a32"|"a35"|"a5"|"a11"|"a47"|"a49"|"a18"|"a4"|"a14"|"a2"|"a46"|"a15"|"a37"|"a43"|"a44"|"a41"|"a12"|"a22"|"a8"|"a29"|"a51"|"a33"|"a48"|"a25"|"a40"|"a3"|"a6"|"a21"|"a36"|"a20"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
6,00:00:00.005,2,24,["a40"|"a48"|"a43"|"a15"|"a22"|"a17"|"a32"|"a16"|"a2"|"a29"|"a14"|"a3"|"a38"|"a36"|"a37"|"a39"|"a50"|"a13"|"a30"|"a1"|"a20"|"a10"|"a18"|"a7"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
7,00:00:00.005,2,5,["a28"|"a10"|"a50"|"a12"|"a14"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
8,00:00:00.005,2,50,["a17"|"a47"|"a10"|"a37"|"a15"|"a43"|"a51"|"a34"|"a18"|"a40"|"a26"|"a20"|"a49"|"a32"|"a14"|"a3"|"a1"|"a22"|"a8"|"a13"|"a42"|"a38"|"a24"|"a31"|"a25"|"a44"|"a29"|"a28"|"a19"|"a7"|"a21"|"a35"|"a11"|"a50"|"a23"|"a16"|"a"|"a33"|"a6"|"a45"|"a4"|"a46"|"a9"|"a41"|"a48"|"a12"|"a5"|"a30"|"a39"|"a2"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
9,00:00:00.005,2,28,["a49"|"a6"|"a37"|"a44"|"a15"|"a39"|"a50"|"a9"|"a25"|"a43"|"a30"|"a1"|"a17"|"a7"|"a"|"a33"|"a23"|"a41"|"a32"|"a40"|"a34"|"a20"|"a13"|"a51"|"a21"|"a35"|"a46"|"a11"],PF-Tree-52-args-Audience-2-Members-PAF-size-27-args.xmi
