run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.069,0,21,["b1"|"b16"|"b23"|"c11"|"c19"|"b4"|"c14"|"c21"|"c8"|"b9"|"c6"|"c5"|"b19"|"b13"|"c17"|"b24"|"c18"|"c1"|"c24"|"c13"|"b2"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
1,00:00:00.030,0,29,["c9"|"b12"|"b24"|"c19"|"b2"|"b15"|"b18"|"c6"|"b11"|"c8"|"c10"|"c15"|"c20"|"b16"|"b14"|"c0"|"b9"|"c23"|"b8"|"c18"|"c12"|"c17"|"c13"|"c3"|"c16"|"b22"|"c21"|"b0"|"b19"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
2,00:00:00.029,0,37,["b2"|"b8"|"c6"|"c14"|"b21"|"b12"|"c22"|"a"|"b7"|"c4"|"b15"|"b18"|"c8"|"c24"|"b17"|"c2"|"b1"|"c3"|"b5"|"c11"|"c21"|"c20"|"b13"|"c5"|"c10"|"b23"|"c13"|"c16"|"c7"|"b22"|"b11"|"c12"|"c1"|"c17"|"b14"|"b9"|"b20"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
3,00:00:00.032,0,11,["b3"|"c0"|"c7"|"b16"|"c2"|"c12"|"b12"|"c20"|"b19"|"c10"|"b21"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
4,00:00:00.037,0,48,["c9"|"c3"|"c12"|"b2"|"c7"|"c21"|"c18"|"c17"|"b24"|"b5"|"b16"|"c19"|"c16"|"b21"|"b12"|"c2"|"c15"|"b11"|"b8"|"c14"|"a"|"c22"|"c0"|"b19"|"c8"|"c6"|"b14"|"b7"|"b9"|"b23"|"b3"|"c23"|"b15"|"b6"|"c5"|"c4"|"c24"|"c11"|"b20"|"c10"|"b17"|"b0"|"c13"|"b10"|"c1"|"b18"|"b22"|"b4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
5,00:00:00.028,0,4,["b17"|"b8"|"c19"|"c9"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
6,00:00:00.023,0,4,["b17"|"b24"|"b6"|"c6"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
7,00:00:00.022,0,45,["b6"|"b7"|"c8"|"a"|"c10"|"c23"|"c5"|"b3"|"b18"|"c1"|"b5"|"c20"|"b19"|"b1"|"c3"|"b17"|"b8"|"b24"|"b9"|"c2"|"b20"|"c18"|"c17"|"c11"|"c13"|"b14"|"c15"|"b12"|"c0"|"b16"|"c19"|"c12"|"c16"|"b11"|"b15"|"b21"|"b0"|"b13"|"c7"|"c22"|"c9"|"b10"|"b22"|"c4"|"c6"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
8,00:00:00.021,0,16,["b3"|"b4"|"c1"|"c16"|"b15"|"b10"|"b18"|"c2"|"c5"|"b14"|"c3"|"b1"|"b12"|"b13"|"b24"|"c14"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
9,00:00:00.016,0,2,["c18"|"b11"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
10,00:00:00.022,0,2,["b1"|"b0"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
11,00:00:00.027,0,8,["c9"|"c1"|"c22"|"c17"|"b5"|"b13"|"b3"|"c2"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
12,00:00:00.032,0,15,["b15"|"b18"|"b20"|"b19"|"c8"|"c18"|"b21"|"b14"|"c1"|"b7"|"c0"|"c14"|"c5"|"c16"|"a"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
13,00:00:00.027,0,37,["b16"|"c2"|"b9"|"c19"|"a"|"c7"|"b6"|"b17"|"b1"|"c3"|"c12"|"c15"|"b18"|"b5"|"b20"|"c8"|"b22"|"b13"|"b0"|"b24"|"b12"|"c14"|"c11"|"b8"|"c20"|"b15"|"c13"|"b19"|"b7"|"b14"|"c21"|"c24"|"b23"|"c18"|"b21"|"c17"|"c1"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
14,00:00:00.020,0,42,["c22"|"b6"|"c2"|"b20"|"b4"|"b7"|"b19"|"b16"|"c8"|"c16"|"b11"|"b0"|"b9"|"c11"|"c5"|"b13"|"c17"|"a"|"c18"|"c7"|"b22"|"c20"|"c6"|"b5"|"b15"|"c21"|"c15"|"c19"|"b23"|"b10"|"b12"|"b8"|"c0"|"b18"|"c14"|"b17"|"c3"|"c1"|"c13"|"b3"|"c10"|"b2"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
15,00:00:00.019,0,32,["b24"|"b2"|"b1"|"b13"|"c5"|"c8"|"c9"|"b8"|"b10"|"b0"|"b23"|"b18"|"c16"|"b12"|"c19"|"b16"|"b22"|"c11"|"c13"|"b4"|"c7"|"c1"|"c12"|"c10"|"b9"|"c3"|"c21"|"b20"|"b3"|"c15"|"b19"|"a"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
16,00:00:00.024,0,36,["b1"|"b10"|"c17"|"b24"|"c16"|"b20"|"c12"|"b5"|"b12"|"b0"|"b4"|"c11"|"b17"|"c6"|"c23"|"c21"|"c8"|"c18"|"c20"|"b16"|"c13"|"c4"|"b15"|"c5"|"b19"|"c9"|"c0"|"c15"|"b23"|"b13"|"c2"|"b18"|"b21"|"b9"|"b8"|"c14"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
17,00:00:00.023,0,21,["c10"|"c23"|"b4"|"c8"|"a"|"b14"|"b20"|"b9"|"b21"|"c20"|"c11"|"b23"|"c21"|"c15"|"b1"|"b7"|"c4"|"b8"|"c19"|"b22"|"c13"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
18,00:00:00.029,0,49,["c1"|"b9"|"c14"|"c23"|"c20"|"b14"|"b17"|"b23"|"b5"|"c6"|"b8"|"c7"|"b15"|"c2"|"c24"|"c13"|"b3"|"b7"|"b18"|"c16"|"b2"|"b20"|"c15"|"b24"|"b13"|"c19"|"c18"|"b10"|"c17"|"b19"|"c9"|"b0"|"c3"|"b11"|"b4"|"c8"|"b21"|"c12"|"c11"|"c10"|"b22"|"c5"|"b16"|"a"|"b12"|"b6"|"b1"|"c0"|"c22"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
19,00:00:00.023,0,14,["b13"|"b2"|"b16"|"b5"|"c17"|"c12"|"b11"|"b18"|"c8"|"c23"|"a"|"b0"|"c9"|"c1"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
20,00:00:00.017,0,6,["b8"|"b16"|"c20"|"c1"|"b0"|"b24"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
21,00:00:00.017,0,5,["c14"|"b18"|"c2"|"c24"|"c16"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
22,00:00:00.024,0,2,["c21"|"c20"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
23,00:00:00.027,0,36,["b1"|"c5"|"c12"|"c4"|"c24"|"b24"|"b19"|"c7"|"b22"|"b6"|"b12"|"b2"|"c8"|"b7"|"c18"|"c20"|"b23"|"b18"|"c0"|"c22"|"b10"|"c16"|"b20"|"c2"|"c14"|"c11"|"c19"|"b21"|"c23"|"c9"|"b9"|"b3"|"b15"|"c10"|"c17"|"c15"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
24,00:00:00.030,0,6,["c16"|"c4"|"b6"|"c7"|"a"|"b22"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
25,00:00:00.018,0,1,["c14"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
26,00:00:00.017,0,35,["c20"|"c23"|"b16"|"b5"|"b20"|"c3"|"c13"|"b1"|"b14"|"b21"|"c5"|"b3"|"b7"|"c18"|"c10"|"b4"|"b18"|"c14"|"c11"|"b6"|"a"|"c17"|"c7"|"c21"|"c9"|"b22"|"c15"|"c2"|"b9"|"b15"|"c24"|"b2"|"b0"|"c22"|"b24"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
27,00:00:00.020,0,23,["c5"|"c15"|"b9"|"c14"|"b24"|"c3"|"b12"|"b11"|"b13"|"c24"|"c21"|"c0"|"b3"|"b18"|"c23"|"c17"|"c6"|"b2"|"b10"|"b22"|"b4"|"c11"|"b23"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
28,00:00:00.015,0,10,["b9"|"b6"|"b7"|"b1"|"c14"|"c5"|"c20"|"b13"|"c22"|"c6"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
29,00:00:00.015,0,7,["c6"|"c12"|"b6"|"b0"|"b8"|"b3"|"b24"],PF-Cycle-51-args-Audience-10-Members-PAF-size-27-args.xmi
